	RANN			n2p2			meam
11.31692796	-1.136619422		11.13338646	-1.510800478		11.31824678	0.861815582
11.48753206	-1.136619422		11.30122365	-1.510800478		11.48887077	0.861815582
11.65984219	-0.670471483		11.4707392	-1.472289151		11.66120098	0.736929864
11.83386684	-0.022611019		11.64194146	-1.435729121		11.8352459	0.617145217
12.00961449	-0.045560077		11.81483878	-1.401219828		12.01101403	0.502286101
12.18709362	-0.050278662		11.9894395	-1.368850904		12.18851385	0.392183641
12.36631274	-0.065604373		12.16575199	-1.338699975		12.36775385	0.286675616
12.54728032	-0.094751201		12.34378458	-1.310833097		12.54874252	0.185606422
12.73000485	-0.147926321		12.52354563	-1.285305933		12.73148835	0.08882702
12.91449483	-0.21220579		12.70504349	-1.262164136		12.91599982	-0.003805138
13.10075873	-0.280141285		12.8882865	-1.241442667		13.10228543	-0.092426431
13.28880505	-0.348063228		13.07328303	-1.223164013		13.29035366	-0.177168192
13.47864227	-0.414558894		13.26004141	-1.207336442		13.48021301	-0.258157756
13.67027888	-0.47932361		13.44857	-1.193953736		13.67187195	-0.335518744
13.86372338	-0.5423167		13.63887715	-1.182993268		13.86533899	-0.409371162
14.05898424	-0.602419551		13.83097121	-1.174418884		14.06062261	-0.479831503
14.25606995	-0.65968239		14.02486053	-1.168176049		14.25773129	-0.547012842
14.45498901	-0.714385647		14.22055345	-1.164198331		14.45667353	-0.61102493
14.6557499	-0.766663359		14.41805834	-1.162408997		14.65745781	-0.671974284
14.8583611	-0.816579787		14.61738353	-1.162718557		14.86009263	-0.72996428
15.06283111	-0.864179809		14.81853738	-1.165015591		15.06458647	-0.785095233
15.26916842	-0.9095113		15.02152824	-1.16917609		15.27094781	-0.837464487
15.4773815	-0.952632057		15.22636446	-1.175070127		15.47918516	-0.887166496
15.68747885	-0.993611805		15.43305439	-1.182561172		15.689307	-0.934292902
15.89946896	-1.032531608		15.64160637	-1.191507093		15.90132181	-0.978932613
16.11336032	-1.06947827		15.85202877	-1.201761343		16.11523809	-1.02117188
16.3291614	-1.1045335		16.06432992	-1.213174648		16.33106433	-1.061094372
16.54688071	-1.137762787		16.27851819	-1.225592391		16.548809	-1.098781243
16.76652672	-1.169211092		16.49460191	-1.238858499		16.76848061	-1.134311207
16.98810792	-1.198908955		16.71258944	-1.252820911		16.99008764	-1.167760603
17.21163281	-1.226885922		16.93248913	-1.267332328		17.21363857	-1.199203463
17.43710987	-1.253183417		17.15430933	-1.282251208		17.43914191	-1.228711574
